dataset	x_values	y_values
set_3	53.366566866	90.2080300059
set_3	52.8019793617	90.0880645063
set_3	47.0541298828	90.458936026
set_3	42.4484337816	89.5077001153
set_3	42.7040363241	90.4426288607
set_3	32.3789386326	90.144142631
set_3	32.5307027362	70.1573965085
set_3	33.3652644305	70.4593354392
set_3	32.6560991775	70.0510704992
set_3	22.9550932697	70.4268951523
set_3	27.1498436318	70.2108058428
set_3	26.1669092779	70.5003151212
set_3	26.3314570795	50.494556525
set_3	22.0037091415	50.4994401238
set_3	23.2847479782	50.4743528321
set_3	27.6340383923	50.5036668574
set_3	32.0371080007	50.5000661229
set_3	29.3365106528	50.461893969
set_3	40.816953133	50.4877601957
set_3	42.7390751173	50.483155992
set_3	51.8678937691	50.4932732621
set_3	43.3710018924	50.5008373234
set_3	53.0427983006	50.4875038691
set_3	56.6189102967	50.5033740178
set_3	70.568289819	50.4962361243
set_3	67.870887292	70.0680261345
set_3	58.8215465891	70.4557817483
set_3	60.1869278445	70.4835512458
set_3	59.4355174849	50.4206326073
set_3	49.5858434795	50.4349813825
set_3	41.7797417848	50.4706422808
set_3	46.1276863394	30.4494107792
set_3	38.0337837705	50.4908995189
set_3	44.5468412844	50.4159133758
set_3	46.2381175975	30.4956129408
set_3	49.7397453317	30.4727248868
set_3	39.1102518936	30.4786951789
set_3	39.1428377913	30.7928559394
set_3	34.6254702671	30.4997410297
set_3	34.7542074707	30.4958650002
set_3	36.7537002386	50.5293043035
set_3	37.0193512929	50.4926666972
set_3	41.4171152753	50.4697734181
set_3	22.8171074784	30.4360403387
set_3	34.800701463	30.4979313851
set_3	27.8918897953	30.4849702595
set_3	32.8706391587	30.5023417488
set_3	37.7940494081	30.4926383364
set_3	35.6673163042	30.522035054
set_3	48.4422995026	30.5017227753
set_3	58.6693732631	30.5068378948
set_3	47.9169554375	30.4867257545
set_3	51.8941663939	30.494755684
set_3	51.7490891643	30.4729933399
set_3	58.2465530013	50.4428744949
set_3	57.3106968674	50.4825132895
set_3	67.9680481127	50.4521589097
set_3	65.9493192681	50.494240794
set_3	55.7470928102	50.4789748003
set_3	68.4030100436	50.4986272318
set_3	76.696465628	50.4938305609
set_3	67.2148371159	70.2600284356
set_3	72.3020057291	70.2204373812
set_3	66.7632573944	70.4738617113
set_3	51.6803004439	89.9970275485
set_3	53.0965573571	89.540243712
set_3	42.2422929389	89.7085785936
set_3	56.2338756577	89.635308157
set_3	54.6809865825	89.9645994589
set_3	57.9026866088	89.6184017294
set_3	51.8202625467	89.8341303987
set_3	56.8283953362	89.5836647251
set_3	58.2722785867	69.9002729578
set_3	51.8281274487	70.3526492053
set_3	44.8499842618	70.3952029719
set_3	24.2703823928	50.4855676918
set_3	34.7424714403	70.3399348879
set_3	37.7993149267	70.4695358763
set_3	49.7869410649	89.6580469945
set_3	59.751497414	89.7319325216
set_3	64.7747992444	90.132316736
set_3	70.8444476004	89.9242090159
set_3	70.6059455116	90.042061963
set_3	78.6424883907	89.5512032307
set_3	70.810692254	89.5926540118
set_3	66.7699466213	70.4233752108
set_3	73.3363681612	70.3169271705
set_3	73.1051481627	70.300511881
set_3	74.6782541432	70.4453141903
set_3	80.240250951	70.3543089613
set_3	70.9468490729	50.4727017878
set_3	88.6626638086	50.4553260208
set_3	84.405952832	50.4948658866
set_3	75.9871047068	50.4919669557
set_3	91.1120854191	50.489389393
set_3	98.2881232748	30.603919371899998
set_3	95.0652748396	30.5004028652
set_3	95.2492339568	30.4594542144
set_3	49.6561262881	50.4313198677
set_3	63.0186009279	30.4925819262
set_3	70.5382006004	30.4835582526
set_3	70.0868697658	30.5100448173
set_3	62.6856904424	30.5464245575
set_3	69.239417959	30.5060052447
set_3	80.4002336791	30.4850063746
set_3	74.6478782284	30.6738628584
set_3	65.9952727194	30.4750241915
set_3	67.0885590036	30.4945239508
set_3	59.8525770283	10.5431877763
set_3	53.7489900744	10.5225745323
set_3	58.2390955164	10.4948990284
set_3	54.810300495	10.7249292845
set_3	52.9767123211	10.859490276
set_3	52.2038939272	10.4956369212
set_3	50.7451622429	10.5249055723
set_3	42.7131936166	10.4875472428
set_3	45.3172255098	10.4958733944
set_3	53.116915041	10.5068605973
set_3	57.049801823	10.5081369414
set_3	54.8546309465	10.4639151924
set_3	54.9248425638	10.498331942
set_3	63.3095540306	10.4888142392
set_3	49.7494984129	10.4858029097
set_3	41.1693104232	10.4973002433
set_3	46.6883404976	10.5075321353
set_3	52.4189219215	10.4959063596
set_3	50.8784883796	10.5030898746
set_3	57.0533061394	10.5140692392
set_3	70.7864511597	10.5136950409
set_3	56.7721495656	10.5032723508
set_3	75.4772220231	10.5185680355
set_3	76.7659121498	10.496999064
set_3	77.621049129	10.4958742318
set_3	65.4144870523	10.6818401251
set_3	69.9647805002	10.5072329326
set_3	64.9697382623	10.4821595117
set_3	38.0502407785	30.4079460343
set_3	42.2241202189	30.4980371582
set_3	87.6984642949	50.4899365296
set_3	52.3603310701	89.7043170068
set_3	51.4067867898	89.7121385499
set_3	43.588468468	89.7455365536
