GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0050896	P	response to stimulus	79	275	4057	37767	2.7e-16	2.4e-13	// AT5G47220 // AT2G06050 // AT2G17840 // AT2G30020 // AT1G25560 // AT1G32640 // AT2G34930 // AT2G47450 // AT5G54770 // AT3G16720 // AT2G35930 // AT1G29340 // AT4G36010 // AT4G35900 // AT4G34410 // AT2G14900 // AT2G23290 // AT1G61890 // AT5G54170 // AT1G65390 // AT3G44260 // AT1G74930 // AT1G19570 // AT1G59870 // AT1G70830 // AT1G66160 // AT4G24960 // AT1G27730 // AT3G52450 // AT5G42650 // AT5G67300 // AT5G15960 // AT1G12610 // AT4G25100 // AT5G64750 // AT5G26920 // AT3G16770 // AT2G29450 // AT5G63770 // AT1G20823 // AT5G52310 // AT3G25770 // AT3G17800 // AT3G23550 // AT1G60960 // AT2G30870 // AT5G28490 // AT1G20440 // AT4G25470 // AT4G01250 // AT1G23130 // AT1G11670 // AT1G13260 // AT3G15210 // AT1G66090 // AT5G52050 // AT4G21870 // AT1G02400 // AT5G24270 // AT5G62520 // AT1G20450 // AT2G40000 // AT4G31800 // AT4G17230 // AT1G76650 // AT3G52400 // AT1G01470 // AT2G40880 // AT1G29395 // AT5G15970 // AT2G30360 // AT3G50260 // AT5G01600 // AT3G25760 // AT3G02840 // AT1G51760 // AT3G51660 // AT3G56090 // AT4G37260 
GO:0006950	P	response to stress	55	275	2320	37767	1.3e-14	6e-12	// AT5G47220 // AT2G06050 // AT2G17840 // AT5G64750 // AT1G32640 // AT2G34930 // AT5G54770 // AT1G29340 // AT1G66090 // AT1G23130 // AT2G23290 // AT2G30020 // AT5G54170 // AT1G65390 // AT3G44260 // AT1G74930 // AT1G59870 // AT1G70830 // AT4G24960 // AT1G27730 // AT3G52450 // AT5G42650 // AT5G67300 // AT5G15960 // AT1G12610 // AT5G26920 // AT3G16770 // AT2G29450 // AT2G40000 // AT3G25770 // AT4G25100 // AT4G21870 // AT2G30870 // AT1G20440 // AT3G15210 // AT4G25470 // AT5G24270 // AT5G62520 // AT1G20450 // AT4G31800 // AT1G76650 // AT3G52400 // AT1G01470 // AT2G35930 // AT1G29395 // AT5G15970 // AT5G63770 // AT5G52310 // AT5G01600 // AT3G25760 // AT3G16720 // AT1G51760 // AT3G51660 // AT3G56090 // AT4G37260 
GO:0010200	P	response to chitin	16	275	151	37767	1.1e-13	3.4e-11	// AT5G47220 // AT1G66160 // AT3G52450 // AT4G17230 // AT1G32640 // AT5G67300 // AT2G35930 // AT4G31800 // AT4G34410 // AT3G50260 // AT4G01250 // AT3G16720 // AT1G27730 // AT1G20823 // AT3G15210 // AT4G37260 
GO:0042221	P	response to chemical stimulus	49	275	2085	37767	6.5e-13	1.5e-10	// AT5G47220 // AT2G17840 // AT5G64750 // AT1G32640 // AT4G34410 // AT2G14900 // AT2G23290 // AT1G61890 // AT1G19570 // AT1G59870 // AT1G20440 // AT1G66160 // AT4G24960 // AT1G27730 // AT3G52450 // AT5G42650 // AT5G67300 // AT5G15960 // AT2G06050 // AT5G26920 // AT3G16770 // AT2G29450 // AT1G20823 // AT5G52310 // AT4G25100 // AT3G23550 // AT3G16720 // AT2G30870 // AT4G01250 // AT1G11670 // AT5G52050 // AT3G15210 // AT5G24270 // AT1G20450 // AT2G40000 // AT4G31800 // AT4G17230 // AT3G52400 // AT1G01470 // AT2G35930 // AT1G29395 // AT5G15970 // AT3G50260 // AT5G01600 // AT3G25760 // AT3G02840 // AT1G13260 // AT3G56090 // AT4G37260 
GO:0009743	P	response to carbohydrate stimulus	17	275	240	37767	7.9e-12	1.4e-09	// AT5G47220 // AT1G66160 // AT3G52450 // AT4G17230 // AT1G32640 // AT5G67300 // AT2G35930 // AT4G31800 // AT4G34410 // AT3G50260 // AT5G64750 // AT3G16720 // AT1G27730 // AT1G20823 // AT4G01250 // AT3G15210 // AT4G37260 
GO:0009414	P	response to water deprivation	16	275	229	37767	4e-11	6e-09	// AT1G20450 // AT1G20440 // AT2G17840 // AT4G24960 // AT1G27730 // AT3G52450 // AT2G30870 // AT5G67300 // AT5G15960 // AT1G01470 // AT1G32640 // AT1G29395 // AT2G35930 // AT5G52310 // AT3G25760 // AT5G15970 
GO:0009415	P	response to water	16	275	240	37767	7.7e-11	9.9e-09	// AT1G20450 // AT1G20440 // AT2G17840 // AT4G24960 // AT1G27730 // AT3G52450 // AT2G30870 // AT5G67300 // AT5G15960 // AT1G01470 // AT1G32640 // AT1G29395 // AT2G35930 // AT5G52310 // AT3G25760 // AT5G15970 
GO:0009628	P	response to abiotic stimulus	36	275	1471	37767	3.7e-10	4.2e-08	// AT2G17840 // AT5G64750 // AT1G25560 // AT1G32640 // AT2G47450 // AT5G54770 // AT2G35930 // AT4G35900 // AT5G52310 // AT2G23290 // AT1G02400 // AT3G17800 // AT1G20440 // AT4G24960 // AT1G27730 // AT3G52450 // AT5G67300 // AT5G15960 // AT1G12610 // AT4G21870 // AT5G62520 // AT3G25770 // AT2G30870 // AT5G28490 // AT4G25470 // AT1G20450 // AT5G24270 // AT1G01470 // AT2G40880 // AT1G29395 // AT5G15970 // AT5G63770 // AT5G01600 // AT3G25760 // AT2G30360 // AT4G37260 
GO:0009607	P	response to biotic stimulus	23	275	638	37767	7.3e-10	7.3e-08	// AT5G47220 // AT2G34930 // AT1G29340 // AT4G36010 // AT1G23130 // AT2G30020 // AT3G44260 // AT1G74930 // AT1G19570 // AT1G59870 // AT1G70830 // AT5G42650 // AT2G06050 // AT5G26920 // AT3G16770 // AT2G40000 // AT1G60960 // AT3G15210 // AT4G31800 // AT3G52400 // AT5G01600 // AT3G02840 // AT3G51660 
GO:0009611	P	response to wounding	13	275	197	37767	5.3e-09	4.8e-07	// AT1G27730 // AT5G42650 // AT1G76650 // AT1G01470 // AT1G32640 // AT1G74930 // AT2G30020 // AT5G54170 // AT3G44260 // AT1G51760 // AT3G51660 // AT5G63770 // AT2G06050 
